Ref,Host,Project,Status,Start Date,Site Classification,Application,Number of Units,Fuel Cell Type,Model,Fuel,Single Unit Nominal Power Output (kW),Total Nominal Power at Site (kW)
HFS_US_169,,,active,2016-01-01,,,,SOFC,,,,400.0
HFS_US_170,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_171,,,active,2014-01-01,,,,SOFC,,,,750.0
HFS_US_172,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_173,,,active,2017-01-01,,,,SOFC,,,,600.0
HFS_US_174,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_175,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_176,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_177,,,active,2016-01-01,,,,SOFC,,,,400.0
HFS_US_178,,,active,2020-01-01,,,,SOFC,,,,350.0
HFS_US_179,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_180,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_181,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_182,,,active,2021-01-01,,,,SOFC,,,,1400.0
HFS_US_183,VA Hospital,unknown,active,2012-01-01,hospital,baseload power,2.0,PAFC,PureCell 400,natural gas,400.0,800.0
HFS_US_184,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_185,"California State University, Long Beach",,active,2007-01-01,college/university,"• baseload power
• CHP
• grid support",1.0,MCFC,DFC1500,,1400.0,1400.0
HFS_US_186,,,active,2011-01-01,,,,SOFC,,,,200.0
HFS_US_187,Port of Long Beach Toyota Logistics Services,SureSource Tri-Gen with agricultural waste,planned,2020-01-01,port,baseload power,1.0,MCFC,,biogas,2300.0,2300.0
HFS_US_188,CBS Studios,,active,2013-01-01,office building,"• backup power
• CHP",3.0,PAFC,PureCell 400,natural gas,400.0,1200.0
HFS_US_189,,,active,2013-01-01,,,,SOFC,,,,250.0
HFS_US_190,,,active,2013-01-01,,,,SOFC,,,,500.0
HFS_US_191,,,active,2013-01-01,,,,SOFC,,,,500.0
HFS_US_192,,,active,2015-01-01,,,,SOFC,,,,500.0
HFS_US_193,,,active,2015-01-01,,,,SOFC,,,,500.0
HFS_US_194,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_195,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_196,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_197,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_198,,,active,2016-01-01,,,,SOFC,,,,1000.0
HFS_US_199,,,active,2017-01-01,,,,SOFC,,,,1000.0
HFS_US_200,,,active,2017-01-01,,,,SOFC,,,,900.0
HFS_US_201,,,active,2019-01-01,,,,SOFC,,,,300.0
HFS_US_202,,,active,2019-01-01,,,,SOFC,,,,300.0
HFS_US_203,,,active,2019-01-01,,,,SOFC,,,,500.0
HFS_US_204,,,active,2020-01-01,,,,SOFC,,,,2400.0
HFS_US_205,,,active,2020-01-01,,,,SOFC,,,,1200.0
HFS_US_206,,,active,2020-01-01,,,,SOFC,,,,900.0
HFS_US_207,,,active,2021-01-01,,,,SOFC,,,,1000.0
HFS_US_208,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_209,,,active,2012-01-01,,,,SOFC,,,,1000.0
HFS_US_210,,,active,2012-01-01,,,,SOFC,,,,400.0
HFS_US_211,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_212,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_213,,,active,2014-01-01,,,,SOFC,,,,800.0
HFS_US_214,,,active,2016-01-01,,,,SOFC,,,,500.0
HFS_US_215,,,active,2017-01-01,,,,SOFC,,,,1025.0
HFS_US_216,,,active,2019-01-01,,,,SOFC,,,,850.0
HFS_US_217,,,active,2019-01-01,,,,SOFC,,,,300.0
HFS_US_218,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_219,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_220,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_221,,,active,2016-01-01,,,,SOFC,,,,300.0
HFS_US_222,,,active,2020-01-01,,,,SOFC,,,,500.0
HFS_US_223,Moreno Valley Water Reclamation Facility,,active,2009-01-01,wastewater treatment plant,"• baseload power
• CHP",5.0,MCFC,DFC300MA,"• biogas
• natural gas",300.0,1500.0
HFS_US_224,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_225,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_226,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_227,,,active,2015-01-01,,,,SOFC,,,,400.0
HFS_US_228,,,active,2016-01-01,,,,SOFC,,,,300.0
HFS_US_229,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_230,,,active,2017-01-01,,,,SOFC,,,,2500.0
HFS_US_231,,,active,2017-01-01,,,,SOFC,,,,2250.0
HFS_US_232,,,active,2021-01-01,,,,SOFC,,,,300.0
HFS_US_233,,,active,2021-01-01,,,,SOFC,,,,600.0
HFS_US_234,,,active,2017-01-01,,,,SOFC,,,,700.0
HFS_US_235,,,active,2020-01-01,,,,SOFC,,,,800.0
HFS_US_236,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_237,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_238,Norco Community College,unknown,active,2014-01-01,college/university,baseload power,1.0,PAFC,PureCell 400,natural gas,400.0,400.0
HFS_US_239,,,active,2013-01-01,,,,SOFC,,,,600.0
HFS_US_240,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_241,"California State University, Northridge",unknown,active,2007-01-01,college/university,"• baseload power
• CHP",4.0,MCFC,DFC300,natural gas,250.0,1000.0
HFS_US_242,,,active,2016-01-01,,,,SOFC,,,,325.0
HFS_US_243,,,active,2016-01-01,,,,SOFC,,,,800.0
HFS_US_244,,,active,2016-01-01,,,,SOFC,,,,700.0
HFS_US_245,,,active,2013-01-01,,,,SOFC,,,,400.0
HFS_US_246,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_247,,,active,2016-01-01,,,,SOFC,,,,500.0
HFS_US_248,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_249,,,active,2017-01-01,,,,SOFC,,,,750.0
HFS_US_250,,,active,2018-01-01,,,,SOFC,,,,250.0
HFS_US_251,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_252,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_253,,,active,2019-01-01,,,,SOFC,,,,2500.0
HFS_US_254,,,active,2016-01-01,,,,SOFC,,,,300.0
HFS_US_255,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_256,,,active,2016-01-01,,,,SOFC,,,,1000.0
HFS_US_257,Inland Empire Utilities Agency water recycling plant,,active,2012-01-01,wastewater treatment plant,"• baseload power
• CHP",1.0,MCFC,DFC3000,biogas,2800.0,2800.0
HFS_US_258,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_259,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_260,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_261,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_262,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_263,Gills Onions ,unknown,active,2008-01-01,manufacturing facility,"• baseload power
• CHP",2.0,MCFC,DFC300,"• biogas
• natural gas",300.0,600.0
HFS_US_264,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_265,,,active,2016-01-01,,,,SOFC,,,,450.0
HFS_US_266,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_267,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_268,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_269,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_270,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_271,,,active,2018-01-01,,,,SOFC,,,,1600.0
HFS_US_272,,,active,2016-01-01,,,,SOFC,,,,1000.0
HFS_US_273,,,active,2016-01-01,,,,SOFC,,,,1000.0
HFS_US_274,,,active,2016-01-01,,,,SOFC,,,,100.0
HFS_US_275,,,active,2017-01-01,,,,SOFC,,,,600.0
HFS_US_276,,,active,2018-01-01,,,,SOFC,,,,300.0
HFS_US_277,,,active,2019-01-01,,,,SOFC,,,,1000.0
HFS_US_278,,,active,2020-01-01,,,,SOFC,,,,1200.0
HFS_US_279,,,active,2020-01-01,,,,SOFC,,,,200.0
HFS_US_280,,,active,2016-01-01,,,,SOFC,,,,600.0
HFS_US_281,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_282,Perris Valley Regional Water Reclamation Facility,unknown,active,2011-01-01,wastewater treatment plant,"• baseload power
• CHP",2.0,MCFC,DFC300,biogas,300.0,600.0
HFS_US_283,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_284,,,active,2020-01-01,,,,SOFC,,,,400.0
HFS_US_285,,,active,2017-01-01,,,,SOFC,,,,200.0
HFS_US_286,,,active,2019-01-01,,,,SOFC,,,,200.0
HFS_US_287,Dublin San Ramon Services District's Waste Water Treatment Plant,unknown,active,2007-01-01,wastewater treatment plant,"• baseload power
• CHP",2.0,MCFC,DFC300MA,"• biogas
• natural gas",300.0,600.0
HFS_US_288,,,active,2015-01-01,,,,SOFC,,,,500.0
HFS_US_289,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_290,,,active,2017-01-01,,,,SOFC,,,,1000.0
HFS_US_291,,,active,2018-01-01,,,,SOFC,,,,400.0
HFS_US_292,,,active,2020-01-01,,,,SOFC,,,,1000.0
